Carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00]	3.15 [1.21, 5.08]**	2.06 [0.10, 4.01]*	1.94 [0.36, 3.53]*	2.41 [0.40, 4.43]*	1.81 [0.12, 3.50]*	2.40 [0.04, 4.77]*	4.10 [1.44, 6.76]**	
Time	2.51 [1.83, 3.19]***	3.73 [2.86, 4.60]***	3.23 [2.55, 3.91]***	0.00 [-1.03, 1.04]	0.60 [-0.31, 1.50]	1.96 [1.16, 2.75]***	0.79 [-0.56, 2.14]	
TimeSqr	-0.39 [-0.54, -0.23]***	-0.53 [-0.73, -0.33]***	-0.52 [-0.67, -0.36]***	-0.18 [-0.42, 0.06]	-0.05 [-0.26, 0.16]	-0.19 [-0.38, -0.01]*	-0.06 [-0.42, 0.30]	
Non-Carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00]	1.52 [-2.02, 5.06]	0.38 [-3.12, 3.87]	1.45 [-2.16, 5.07]	2.11 [-1.83, 6.05]	0.99 [-2.25, 4.23]	0.90 [-3.40, 5.20]	-0.09 [-4.95, 4.78]	
Time	2.06 [0.92, 3.19]***	3.93 [2.44, 5.42]***	3.30 [2.10, 4.50]***	0.05 [-1.82, 1.92]	-0.28 [-1.74, 1.18]	2.26 [0.91, 3.61]**	-0.69 [-2.89, 1.50]	
TimeSqr	-0.31 [-0.56, -0.05]*	-0.65 [-0.98, -0.32]***	-0.55 [-0.81, -0.28]***	-0.14 [-0.56, 0.27]	0.09 [-0.23, 0.42]	-0.24 [-0.54, 0.06]	0.34 [-0.22, 0.91]	
