MLLLPA_ME_Model2	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	-0.23 [-2.83, 2.37]	-1.26 [-3.91, 1.39]	0.07 [-2.22, 2.36]	-0.94 [-3.68, 1.81]	0.14 [-2.17, 2.45]	0.85 [-2.31, 4.01]	-0.43 [-3.95, 3.09]	
[MLPAvsLLPA4=2.00]	1.75 [-0.29, 3.78]	0.79 [-1.29, 2.87]	1.61 [-0.18, 3.40]x	1.87 [-0.29, 4.02]	0.23 [-1.59, 2.04]	1.41 [-1.06, 3.87]	2.03 [-0.83, 4.90]	
[MLPAvsLLPA4=1.00]	2.44 [0.16, 4.72]*	1.36 [-0.97, 3.69]	1.32 [-0.69, 3.32]	0.34 [-2.07, 2.75]	3.06 [1.03, 5.09]**	2.70 [-0.06, 5.47]x	3.11 [-0.06, 6.27]x	
