Carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	-3.79 [-9.51, 1.93]	-3.50 [-9.16, 2.17]	-1.69 [-7.30, 3.92]	-7.27 [-13.71, -0.84]*	1.25 [-4.20, 6.71]	-2.97 [-9.92, 3.98]	-3.67 [-11.38, 4.05]	
[MLPAvsLLPA4=2.00]	1.66 [-2.85, 6.16]	0.56 [-3.89, 5.02]	2.19 [-2.23, 6.61]	0.90 [-4.15, 5.96]	1.04 [-3.25, 5.33]	1.53 [-3.95, 7.00]	-1.55 [-7.69, 4.58]	
[MLPAvsLLPA4=1.00]	1.01 [-4.31, 6.32]	-0.08 [-5.32, 5.16]	-0.64 [-5.85, 4.57]	3.59 [-2.36, 9.54]	1.48 [-3.57, 6.53]	-0.09 [-6.54, 6.37]	1.74 [-5.79, 9.26]	
Time	2.04 [0.84, 3.23]**	3.90 [2.33, 5.46]***	3.73 [2.46, 5.00]***	-0.28 [-2.22, 1.67]	-0.18 [-1.74, 1.38]	2.14 [0.71, 3.57]**	-1.01 [-3.33, 1.30]	
TimeSqr	-0.29 [-0.56, -0.03]*	-0.63 [-0.98, -0.28]***	-0.63 [-0.91, -0.35]***	-0.06 [-0.50, 0.37]	0.07 [-0.28, 0.41]	-0.21 [-0.52, 0.11]	0.47 [-0.12, 1.07]	
non-carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	0.28 [-2.96, 3.52]	-0.80 [-4.10, 2.50]	-0.52 [-3.22, 2.18]	0.41 [-2.98, 3.80]	-0.46 [-3.33, 2.41]	2.11 [-1.86, 6.09]	0.93 [-3.53, 5.39]	
[MLPAvsLLPA4=2.00]	2.50 [-0.05, 5.05]x	1.26 [-1.34, 3.86]	1.79 [-0.34, 3.91]	3.25 [0.57, 5.93]*	-0.19 [-2.45, 2.08]	2.22 [-0.91, 5.35]	4.33 [0.72, 7.94]*	
[MLPAvsLLPA4=1.00]	3.80 [0.99, 6.61]**	2.45 [-0.41, 5.31]	1.80 [-0.54, 4.14]	0.70 [-2.24, 3.63]	3.74 [1.25, 6.22]**	4.43 [0.98, 7.88]*	4.97 [1.10, 8.83]*	
Time	2.33 [1.62, 3.04]***	3.83 [2.91, 4.75]***	3.06 [2.34, 3.78]***	-0.14 [-1.25, 0.97]	0.62 [-0.34, 1.58]	1.75 [0.91, 2.59]***	0.74 [-0.69, 2.17]	
TimeSqr	-0.35 [-0.52, -0.19]***	-0.53 [-0.74, -0.32]***	-0.47 [-0.63, -0.30]***	-0.17 [-0.43, 0.08]	-0.06 [-0.28, 0.16]	-0.17 [-0.36, 0.02]	-0.09 [-0.47, 0.28]	
