Result	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00] * APOE4Car	-0.72 [-4.65, 3.20]	-0.34 [-4.28, 3.60]	0.36 [-3.07, 3.78]	0.14 [-4.03, 4.30]	-0.50 [-3.98, 2.98]	-1.15 [-5.91, 3.61]	-4.27 [-9.72, 1.19]	
Time	2.41 [1.83, 2.99]***	3.81 [3.06, 4.56]***	3.29 [2.69, 3.88]***	0.03 [-0.88, 0.93]	0.41 [-0.36, 1.18]	2.04 [1.36, 2.72]***	0.40 [-0.75, 1.55]	
TimeSqr	-0.37 [-0.50, -0.24]***	-0.57 [-0.74, -0.40]***	-0.53 [-0.67, -0.40]***	-0.17 [-0.38, 0.03]	-0.02 [-0.20, 0.16]	-0.21 [-0.36, -0.05]**	0.05 [-0.25, 0.35]	
