High MLPA	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[APOE4Car=0]	3.50 [0.49, 6.51]*	2.24 [-0.74, 5.22]	2.31 [-0.45, 5.08]	0.71 [-2.93, 4.34]	2.56 [-0.36, 5.48]	3.34 [-0.57, 7.24]	4.08 [-0.35, 8.51]x	
Low MLPA	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[APOE4Car=0]	2.79 [0.21, 5.36]*	2.01 [-0.61, 4.63]	2.35 [0.15, 4.55]*	1.49 [-1.11, 4.10]	1.81 [-0.46, 4.08]	2.05 [-1.02, 5.13]	-0.70 [-4.31, 2.92]	
