MLPAxSexxTime_Model3	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00] * Sex * Time	-0.28 [-2.79, 2.22]	0.87 [-2.37, 4.11]	-0.92 [-3.51, 1.66]	0.45 [-3.50, 4.41]	-0.81 [-4.15, 2.52]	-0.01 [-2.98, 2.96]	-1.34 [-6.27, 3.59]	
[MLPAPos4=.00] * Sex * TimeSqr	-0.00 [-0.58, 0.57]	0.04 [-0.71, 0.78]	0.26 [-0.34, 0.85]	-0.35 [-1.27, 0.57]	0.06 [-0.72, 0.83]	-0.14 [-0.83, 0.54]	0.52 [-0.78, 1.82]	
