MLPAxAPOExTime_Model3	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00] * Time * APOE4Car	-0.05 [-3.07, 2.98]	-0.90 [-4.82, 3.01]	0.74 [-2.38, 3.85]	0.01 [-4.77, 4.79]	-1.66 [-5.72, 2.40]	0.90 [-2.68, 4.48]	-3.40 [-9.14, 2.34]	
[MLPAPos4=.00] * TimeSqr * APOE4Car	0.10 [-0.61, 0.81]	0.40 [-0.52, 1.32]	-0.22 [-0.96, 0.51]	-0.07 [-1.20, 1.06]	0.39 [-0.57, 1.35]	-0.09 [-0.93, 0.75]	1.00 [-0.51, 2.51]	
