MLLLPAxTimeModel2	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time	-1.03 [-2.89, 0.84]	-2.10 [-4.50, 0.30]	-0.63 [-2.53, 1.27]	0.19 [-2.72, 3.09]	-0.67 [-3.12, 1.78]	-0.14 [-2.34, 2.06]	0.81 [-2.79, 4.41]	
[MLPAvsLLPA4=2.00] * Time	-0.62 [-2.13, 0.88]	-2.27 [-4.20, -0.34]*	-0.91 [-2.44, 0.62]	0.36 [-1.97, 2.70]	-0.63 [-2.60, 1.34]	0.82 [-0.95, 2.60]	1.74 [-1.17, 4.64]	
[MLPAvsLLPA4=1.00] * Time	-2.13 [-3.80, -0.47]*	-4.15 [-6.30, -2.01]***	-2.44 [-4.14, -0.74]**	-1.85 [-4.45, 0.75]	0.57 [-1.63, 2.77]	0.35 [-1.61, 2.32]	0.21 [-3.06, 3.48]	
[MLPAvsLLPA4=3.00] * TimeSqr	0.29 [-0.13, 0.71]	0.62 [0.08, 1.17]*	0.28 [-0.16, 0.71]	-0.24 [-0.91, 0.42]	0.18 [-0.39, 0.74]	0.07 [-0.43, 0.57]	-0.31 [-1.25, 0.63]	
[MLPAvsLLPA4=2.00] * TimeSqr	0.22 [-0.13, 0.56]	0.72 [0.27, 1.16]**	0.20 [-0.15, 0.55]	-0.22 [-0.76, 0.32]	0.17 [-0.29, 0.63]	-0.13 [-0.53, 0.28]	-0.63 [-1.40, 0.14]	
[MLPAvsLLPA4=1.00] * TimeSqr	0.52 [0.13, 0.91]**	0.99 [0.49, 1.49]***	0.57 [0.18, 0.97]**	0.41 [-0.20, 1.02]	-0.14 [-0.66, 0.37]	-0.01 [-0.47, 0.45]	-0.01 [-0.87, 0.86]	
