Carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00]	2.67 [0.98, 4.36]**	1.65 [-0.09, 3.39]x	1.58 [0.09, 3.06]*	1.83 [-0.01, 3.66]x	1.82 [0.27, 3.37]*	2.52 [0.44, 4.60]*	3.00 [0.58, 5.41]*	
Time	2.32 [1.72, 2.92]***	3.93 [3.15, 4.71]***	3.29 [2.67, 3.91]***	-0.20 [-1.16, 0.75]	0.39 [-0.41, 1.19]	2.04 [1.33, 2.75]***	0.11 [-1.09, 1.30]	
TimeSqr	-0.35 [-0.48, -0.21]***	-0.57 [-0.75, -0.40]***	-0.52 [-0.67, -0.38]***	-0.14 [-0.35, 0.08]	-0.02 [-0.21, 0.16]	-0.21 [-0.37, -0.05]*	0.11 [-0.20, 0.43]	
Non-Carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00]	2.81 [0.99, 4.62]**	2.60 [0.66, 4.55]**	2.03 [0.39, 3.67]*	2.15 [0.01, 4.29]*	1.35 [-0.46, 3.16]	2.10 [-0.12, 4.32]x	2.82 [0.20, 5.44]*	
Time	2.55 [1.79, 3.32]***	4.96 [3.98, 5.95]***	3.66 [2.87, 4.44]***	-0.10 [-1.30, 1.10]	0.12 [-0.89, 1.13]	1.74 [0.84, 2.64]***	-0.05 [-1.59, 1.48]	
TimeSqr	-0.42 [-0.59, -0.25]***	-0.84 [-1.06, -0.62]***	-0.60 [-0.78, -0.43]***	-0.14 [-0.41, 0.13]	0.02 [-0.21, 0.25]	-0.15 [-0.35, 0.05]	0.14 [-0.26, 0.55]	
