60-69	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00] * Time * APOE4Car	-0.74 [-4.41, 2.94]	-2.69 [-7.43, 2.04]	0.47 [-3.17, 4.10]	0.53 [-5.26, 6.32]	-0.99 [-5.88, 3.89]	0.24 [-4.08, 4.57]	0.43 [-6.03, 6.89]	
[MLPAPos4=.00] * TimeSqr * APOE4Car	0.07 [-0.79, 0.93]	0.57 [-0.54, 1.69]	-0.26 [-1.11, 0.60]	-0.35 [-1.72, 1.01]	0.26 [-0.89, 1.42]	-0.03 [-1.05, 0.98]	0.02 [-1.67, 1.70]	
70Plus	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00] * Time * APOE4Car	1.80 [-3.56, 7.15]	3.51 [-3.50, 10.52]	2.59 [-3.36, 8.54]	-1.28 [-9.91, 7.35]	-3.34 [-10.78, 4.11]	1.89 [-4.54, 8.32]	-13.17 [-24.78, -1.56]*	
[MLPAPos4=.00] * TimeSqr * APOE4Car	-0.13 [-1.39, 1.14]	-0.27 [-1.94, 1.40]	-0.65 [-2.06, 0.77]	0.48 [-1.58, 2.54]	0.66 [-1.12, 2.44]	-0.27 [-1.79, 1.26]	3.75 [0.62, 6.89]*	
