MLLLPA_ME_Model1	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	-0.17 [-2.77, 2.44]	-1.18 [-3.79, 1.43]	0.12 [-2.13, 2.36]	-0.84 [-3.58, 1.90]	-0.02 [-2.31, 2.27]	0.93 [-2.22, 4.07]	-1.03 [-4.55, 2.49]	
[MLPAvsLLPA4=2.00]	1.95 [-0.08, 3.99]x	0.89 [-1.16, 2.93]	1.65 [-0.11, 3.40]x	2.27 [0.12, 4.42]*	0.21 [-1.59, 2.01]	1.50 [-0.96, 3.95]	1.95 [-0.92, 4.81]	
[MLPAvsLLPA4=1.00]	3.13 [0.84, 5.42]**	1.72 [-0.58, 4.02]	1.26 [-0.71, 3.23]	1.16 [-1.26, 3.57]	3.25 [1.23, 5.27]**	3.72 [0.95, 6.49]**	3.37 [0.20, 6.54]*	
