Female	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00] * Time	-0.62 [-2.39, 1.15]	-3.31 [-5.44, -1.19]**	-0.63 [-2.31, 1.05]	-0.36 [-3.15, 2.44]	0.85 [-1.53, 3.23]	0.73 [-1.33, 2.79]	1.12 [-2.19, 4.43]	
[MLPAPos4=.00] * TimeSqr	0.24 [-0.17, 0.65]	0.76 [0.26, 1.25]**	0.13 [-0.26, 0.52]	0.17 [-0.49, 0.82]	-0.10 [-0.66, 0.45]	-0.06 [-0.53, 0.42]	-0.37 [-1.25, 0.51]	
Male	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00] * Time	-0.89 [-2.64, 0.86]	-2.41 [-4.88, 0.05]x	-1.53 [-3.53, 0.46]	0.07 [-2.69, 2.83]	0.02 [-2.27, 2.30]	0.68 [-1.44, 2.81]	-0.33 [-4.00, 3.33]	
[MLPAPos4=.00] * TimeSqr	0.24 [-0.16, 0.64]	0.79 [0.22, 1.36]**	0.38 [-0.08, 0.84]	-0.18 [-0.82, 0.45]	-0.05 [-0.58, 0.48]	-0.19 [-0.68, 0.30]	0.17 [-0.79, 1.13]	
