MLLLPAxAPOE_Model2	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * APOE4Car	0.21 [-5.81, 6.23]	0.62 [-5.40, 6.65]	2.38 [-2.87, 7.62]	-3.38 [-9.71, 2.96]	3.82 [-1.47, 9.11]	-2.84 [-10.12, 4.44]	-2.67 [-10.64, 5.31]	
[MLPAvsLLPA4=2.00] * APOE4Car	0.08 [-4.82, 4.97]	-0.46 [-5.37, 4.45]	0.78 [-3.49, 5.05]	-2.19 [-7.36, 2.99]	1.52 [-2.80, 5.85]	1.25 [-4.67, 7.17]	-5.11 [-11.88, 1.65]	
[MLPAvsLLPA4=1.00] * APOE4Car	0.04 [-5.51, 5.58]	1.45 [-4.11, 7.00]	0.93 [-3.90, 5.76]	3.51 [-2.34, 9.36]	-0.97 [-5.85, 3.91]	-3.47 [-10.17, 3.24]	-3.24 [-11.05, 4.56]	
