ME_Model_2	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00]	2.42 [0.80, 4.04]**	1.52 [-0.14, 3.17]x	1.67 [0.24, 3.09]*	1.65 [-0.07, 3.37]x	1.67 [0.22, 3.12]*	1.97 [-0.00, 3.94]x	2.63 [0.36, 4.90]*	
Time	2.47 [1.90, 3.05]***	3.91 [3.17, 4.65]***	3.32 [2.73, 3.90]***	-0.03 [-0.92, 0.86]	0.40 [-0.35, 1.15]	2.25 [1.58, 2.93]***	0.22 [-0.91, 1.35]	
TimeSqr	-0.38 [-0.51, -0.25]***	-0.59 [-0.76, -0.42]***	-0.54 [-0.67, -0.41]***	-0.16 [-0.37, 0.04]	-0.02 [-0.19, 0.16]	-0.24 [-0.40, -0.09]**	0.10 [-0.20, 0.40]	
[MLPAPos4=.00] * Time								
[MLPAPos4=.00] * TimeSqr								
Model2_Int	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00]								
Time								
TimeSqr								
[MLPAPos4=.00] * Time	-0.88 [-2.07, 0.32]	-2.89 [-4.42, -1.35]***	-1.29 [-2.51, -0.07]*	-0.43 [-2.29, 1.43]	0.38 [-1.19, 1.94]	0.76 [-0.64, 2.17]	0.48 [-1.84, 2.80]	
[MLPAPos4=.00] * TimeSqr	0.25 [-0.03, 0.53]x	0.75 [0.39, 1.10]***	0.28 [-0.00, 0.56]x	0.04 [-0.39, 0.48]	-0.05 [-0.42, 0.31]	-0.13 [-0.45, 0.19]	-0.20 [-0.81, 0.41]	
