	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[PASEtert2=2.00]	-0.81 [-2.70, 1.09]	-0.38 [-2.27, 1.50]	-0.86 [-2.48, 0.76]	-0.53 [-2.52, 1.46]	0.19 [-1.47, 1.85]	-0.95 [-3.23, 1.33]	0.72 [-1.88, 3.33]	
[PASEtert2=1.00]	-0.42 [-2.33, 1.49]	-0.23 [-2.12, 1.67]	-0.97 [-2.60, 0.67]	-2.02 [-4.03, -0.02]*	0.99 [-0.69, 2.67]	1.19 [-1.11, 3.49]	-1.66 [-4.32, 1.00]	
Time	2.53 [1.98, 3.08]***	4.00 [3.28, 4.72]***	3.41 [2.85, 3.97]***	0.18 [-0.68, 1.04]	0.48 [-0.25, 1.21]	2.22 [1.56, 2.87]***	0.36 [-0.73, 1.46]	
TimeSqr	-0.39 [-0.52, -0.27]***	-0.61 [-0.78, -0.45]***	-0.55 [-0.68, -0.42]***	-0.20 [-0.40, -0.00]*	-0.04 [-0.20, 0.13]	-0.24 [-0.39, -0.09]**	0.09 [-0.20, 0.38]	
[PASEtert2=2.00] * Time	0.47 [-0.88, 1.81]	0.79 [-0.96, 2.54]	0.93 [-0.44, 2.29]	-0.13 [-2.24, 1.97]	0.45 [-1.33, 2.22]	0.09 [-1.50, 1.69]	0.25 [-2.45, 2.94]	
[PASEtert2=2.00] * TimeSqr	-0.11 [-0.41, 0.19]	-0.13 [-0.53, 0.27]	-0.27 [-0.58, 0.04]	0.06 [-0.42, 0.54]	-0.07 [-0.47, 0.33]	-0.03 [-0.39, 0.33]	-0.08 [-0.79, 0.63]	
[PASEtert2=1.00] * Time	0.73 [-0.64, 2.09]	0.30 [-1.47, 2.08]	0.49 [-0.89, 1.88]	0.25 [-1.87, 2.38]	0.74 [-1.06, 2.54]	0.29 [-1.33, 1.91]	0.38 [-2.35, 3.11]	
[PASEtert2=1.00] * TimeSqr	-0.16 [-0.47, 0.14]	-0.09 [-0.49, 0.31]	-0.17 [-0.48, 0.14]	0.03 [-0.45, 0.52]	-0.08 [-0.49, 0.33]	-0.11 [-0.48, 0.25]	-0.16 [-0.88, 0.55]	
